Date,FX_EURGBP,FX_GBPAUD,FX_GBPCAD,FX_GBPCHF,FX_GBPJPY,FX_GBPNZD,FX_GBPUSD,FX_NOKGBP,FX_ZARGBP,US_Stock_BKR_adj_close,US_Stock_BKR_adj_high,US_Stock_BKR_adj_low,US_Stock_BKR_adj_open,US_Stock_BKR_adj_volume,US_Stock_BP_adj_close,US_Stock_BP_adj_high,US_Stock_BP_adj_low,US_Stock_BP_adj_open,US_Stock_BP_adj_volume,US_Stock_CAT_adj_close,US_Stock_CAT_adj_high,US_Stock_CAT_adj_low,US_Stock_CAT_adj_open,US_Stock_CAT_adj_volume,US_Stock_COP_adj_close,US_Stock_COP_adj_high,US_Stock_COP_adj_low,US_Stock_COP_adj_open,US_Stock_COP_adj_volume,US_Stock_CVX_adj_close,US_Stock_CVX_adj_high,US_Stock_CVX_adj_low,US_Stock_CVX_adj_open,US_Stock_CVX_adj_volume,US_Stock_DE_adj_close,US_Stock_DE_adj_high,US_Stock_DE_adj_low,US_Stock_DE_adj_open,US_Stock_DE_adj_volume,US_Stock_DVN_adj_close,US_Stock_DVN_adj_high,US_Stock_DVN_adj_low,US_Stock_DVN_adj_open,US_Stock_DVN_adj_volume,US_Stock_HAL_adj_close,US_Stock_HAL_adj_high,US_Stock_HAL_adj_low,US_Stock_HAL_adj_open,US_Stock_HAL_adj_volume,US_Stock_KMI_adj_close,US_Stock_KMI_adj_high,US_Stock_KMI_adj_low,US_Stock_KMI_adj_open,US_Stock_KMI_adj_volume,US_Stock_MPC_adj_close,US_Stock_MPC_adj_high,US_Stock_MPC_adj_low,US_Stock_MPC_adj_open,US_Stock_MPC_adj_volume,US_Stock_XOM_adj_close,US_Stock_XOM_adj_high,US_Stock_XOM_adj_low,US_Stock_XOM_adj_open,US_Stock_XOM_adj_volume
1867,,,,,,,,,,41.427626974408675,42.60012924175692,41.194627364613595,42.04835179709724,7300526.256188223,31.862006515678196,32.068708503719,31.685376537522636,31.835125161453696,9084266.344702214,331.8765012308702,338.2252376996947,329.4382047403606,333.7519079227977,2555334.3515114337,95.37279967407126,98.71364754923964,95.42534787336221,96.1160752945312,10568343.298121462,151.75568630207033,152.61916878334245,150.07055903690429,150.42323555210857,9158485.032339664,465.3864021157058,478.60191215946224,463.91413541066186,471.3635083802819,1429439.47718442,33.51945471639066,34.28256864105498,33.071433007890505,34.09318330305812,9989759.559652995,24.31926633512851,25.26792228740307,24.170642991607277,24.67999472135313,11091157.944763456,26.268181004555345,26.472222921068788,26.05879568961046,26.311415666204834,12889899.311328478,136.53904042919638,139.5407528799516,135.18271685953948,136.18620517109494,2511451.4161622655,107.66496320339759,109.99814685246953,106.67652433325011,107.44766304162323,18043536.55735631
1868,,,,,,,,,,41.44524297077723,42.604483484099184,41.243298223180325,42.02851030221653,7650176.716747423,31.864117658966716,32.086182381003795,31.661205749733586,31.81404705575708,10050149.681073042,331.98935748942256,338.71293327811287,329.9992475879788,334.481227922961,2573373.9650311545,95.34824212828659,98.7412522575851,95.42069875426914,96.00174022986337,10295270.06072786,151.75848701018333,152.67936472860129,150.06751888833628,150.42201308843033,9167210.234654974,465.6987456213768,479.10057315018156,464.2884249145586,471.68360547142856,1458015.2645090206,33.51643632537774,34.27192240393195,33.11007906172228,34.06410425493685,10051508.421156015,24.31786752250039,25.269018713530745,24.166210031841175,24.671926572055686,11035112.960773602,26.28166893120402,26.46859150317506,26.059036873442622,26.31129415443546,13612820.161688179,136.46434430265074,139.53218055691949,135.19099433198645,136.16792626572698,2670099.6085527074,107.6487069685895,110.05511157320618,106.68705008674475,107.48157895282326,18175072.307142496
1869,,,,,,,,,,41.43724481298449,42.61207998361842,41.21301935072316,42.06234388289831,7762027.930087441,31.860718520205086,32.07495374060862,31.681934783153014,31.831412011422056,10318262.097750347,332.12705320444064,338.60726126188047,330.03579459295037,334.15590639073844,2587202.6974562863,95.32127833601331,98.74873278656345,95.39247873976429,95.92084413500318,10195408.778442033,151.75105871769364,152.6447069824395,150.06932291524552,150.4215639569431,9184031.179160707,465.8193924313348,479.0591113548735,464.50210207486145,471.8779731121327,1460391.0594751327,33.51712782914177,34.27426363326217,33.09273220693492,34.06871208209693,10103609.983970365,24.31747808151466,25.25967523265394,24.16964327664687,24.673656612841295,11192686.041283263,26.295163783500318,26.467928065857908,26.05906755865637,26.31128865396077,13812699.801490521,136.63643906656665,139.46639611810957,135.17184191821082,136.20861506078003,2709983.820115417,107.66408644858494,110.04409227560612,106.68280648143345,107.49320319878099,18117642.118805107
1870,,,,,,,,,,41.430042363284905,42.60066482759866,41.19033757613061,42.05741085610428,7795736.8056443045,31.86397110993493,32.079445244088845,31.66417502576291,31.809611108121796,10441350.93697251,332.2549172846106,338.8217533123635,330.19765550758177,334.7754360376277,2571937.9421124533,95.296140472777,98.75301782639698,95.36500515531273,95.79365073590365,10254574.02426217,151.74805875245394,152.5543408684814,150.07055761874693,150.42329772827856,9191284.678157374,466.1487384927405,479.36060254161987,464.92785087791873,472.11708648844905,1466968.0012389766,33.5183728567974,34.27572161108132,33.09070800881825,34.07347050587011,10129010.688155273,24.317542809464644,25.258410627192813,24.169621210459166,24.678269722511214,10991095.795273669,26.30866556500035,26.467806860013066,26.059071462659116,26.311288404970718,13833875.997351626,136.4752054199951,139.47491689840209,135.1722904198921,136.36070845680698,2705849.1154740406,107.66426106150269,109.96641540315365,106.67757758175566,107.4956773887093,17975135.74355373
1871,0.8389662785706936,2.0445681401977573,1.8626999680345062,1.1403371630375232,193.1918547446377,2.2353252789773013,1.300929978984869,0.07282043396147644,0.04242339669878774,41.43849471275219,42.60390348921029,41.20360466331256,42.04190600520323,7813673.9573282525,31.866484534996477,32.082551611045915,31.679364550030854,31.82638315261983,10461772.518282142,332.3120449094637,339.05076995913737,330.23182748712725,334.46095934087515,2582503.0490056216,95.31289903580033,98.75689658189813,95.35023794072114,95.69212315483497,10229734.373511493,151.75005882487648,152.54630634552777,150.07078945598337,150.42379539487564,9196765.835133739,466.17488500959644,479.84378313023126,465.16345657903054,472.732963716803,1463293.0828822297,33.514853362027715,34.265043253566695,33.10504740510226,34.08272956179186,10091989.270920396,24.31703250028889,25.263924200805178,24.174015014924432,24.67826972259831,11095918.694208492,26.322174279262054,26.467784716463942,26.059071959355588,26.311288393699684,13840195.259826455,136.5497436898784,139.5313103816769,135.19347272871542,136.21832009643208,2683377.3404581994,107.6669409381918,109.99346003181736,106.66619135874322,107.49653339950694,18068605.607570156
1872,0.8389413359273735,2.0447282929394315,1.8627207571713256,1.1402303360835488,193.19532284929966,2.2353606121932286,1.3008779600498481,0.07282038688083568,0.042413795570963975,41.43908295724685,42.60458961311802,41.20578689712418,42.04214532332293,7800387.5897322325,31.866604820568885,32.082941682435774,31.666319847066767,31.820971591611812,10539590.23007673,332.38925777782634,338.9772622913529,330.14007188312763,334.81214987109115,2583943.9281184054,95.31295862821976,98.75734774363401,95.34896440520845,95.6957983511217,10241972.323730238,151.75004630434975,152.54737918787222,150.07080635234928,150.4237988622929,9195836.906300157,466.2431276875506,479.5473289194577,464.8359168316737,472.2914470896632,1465333.5621613064,33.51474057968998,34.264200308967055,33.10726601859127,34.086350326003014,10089578.802935949,24.317003903642544,25.265181832248672,24.17457418483661,24.67846203682787,11145511.374292219,26.3356899298452,26.467780670976133,26.059072022549035,26.31128839318948,13877260.083174398,136.71756247839443,139.54363696379355,135.19605045648515,136.2313169701464,2713541.9995426848,107.66701935190636,110.00070589888485,106.66667884375212,107.49691932628517,18075689.26553475
1873,0.8389436989584935,2.0448884582260045,1.8627192514567654,1.1401235191371393,193.20381774284448,2.2353655805203094,1.3008259431948543,0.07282039198863177,0.04240419661603684,41.43888045053665,42.6045248555117,41.203875217593875,42.042848981655666,7797358.249814918,31.86663653724613,32.08363096968069,31.67749993336115,31.824805985918292,10573716.07160024,332.5753611302527,339.23455892826,330.49183250266157,334.53877486357396,2584412.730707231,95.31322469311105,98.75741595099063,95.34902585996224,95.70223089138453,10246309.686686374,151.7500523360289,152.54873767383253,150.07080877197504,150.42379931015756,9195790.175141223,466.58604563848587,480.0329099857524,465.1851857122677,472.61380032035913,1465883.189302381,33.51472943500241,34.26403611070975,33.10650518143206,34.08814163420645,10088663.609155249,24.31700197448128,25.265210670398133,24.17464633921624,24.67861711695637,11143662.952128377,26.349212520311376,26.467779931890835,26.05907203058898,26.311288393166382,13888196.292115023,136.7344455218416,139.54331775982746,135.19614058155707,136.23205845042236,2721193.3033314464,107.66711493046337,110.00295202631095,106.66683099356815,107.49704259786074,18079020.808637016
1874,0.8389434750882323,2.045048636058459,1.8627193605125842,1.140016712197357,193.20552440411726,2.2353662791341584,1.3007739284198043,0.07282039143448509,0.04239459983351456,41.438972393784084,42.60441205459494,41.20506446575918,42.041649108303616,7796365.875297251,31.866585470420176,32.083183454364104,31.66791793480394,31.822271138936504,10584464.110412968,332.6510237970613,339.2027214348866,330.60790719470526,335.2000242639811,2584690.563594553,95.31351682810379,98.75743437229275,95.34939810558538,95.70678214072258,10247925.498941805,151.75003633826128,152.5479554705985,150.07080733551888,150.42379947470243,9195669.039267229,466.71311096735633,479.9911477610741,465.397135293909,472.8082269603806,1465968.9046941872,33.514731988197774,34.26407219561893,33.10683557418001,34.08788986748071,10087797.365780972,24.31700143756772,25.26496560517806,24.174590440036702,24.678583863364086,11150708.461902188,26.36274205422401,26.467779796864576,26.05907203161188,26.311288393165338,13891235.1364672,136.83842273688282,139.54085849311642,135.19593269437564,136.23040791025824,2723119.231747494,107.6670245067876,110.00251539235856,106.6667696522283,107.49708224196476,18077602.81026757
1875,0.8389434962973875,2.0452088264377783,1.8627193526138948,1.1399099152632646,193.19965326068203,2.2353663773686954,1.3007219157246153,0.07282039149460466,0.042385005222905496,41.43905518997129,42.60458153677091,41.205955329896994,42.04182405305601,7796062.504768491,31.86663433557258,32.08336149047268,31.676130276044947,31.823826428912064,10589193.628566958,332.8314237372447,339.39355219278707,330.7395474208963,334.84884776627575,2584518.484273023,95.31378918035378,98.75744490377969,95.34976049349977,95.7139380964514,10246894.47831024,151.75002987745663,152.54591598780127,150.07080635242443,150.4237988395139,9195615.957570385,467.04380447381544,480.2926320473366,465.8227648142451,473.0473418795622,1466077.4566648763,33.514736585138216,34.264094671115785,33.106863970015894,34.08755746579602,10087365.352221163,24.317001526796012,25.264932436376693,24.174590799121226,24.678495193507622,11141981.739101937,26.376278535148355,26.467779772196124,26.059072031742023,26.31128839316529,13891629.140709538,136.72785563888402,139.54117707713104,135.1959375661434,136.2242382440322,2722939.115510394,107.66702348015069,109.99949814765472,106.66669406845297,107.4970944888745,18074054.42987444
1876,0.8389434942880618,2.0453690293649442,1.8627193531859807,1.1398031283339247,193.1996665971092,2.235366391181797,1.3006699051092037,0.07282039148808227,0.0423754127837181,41.43895802548379,42.604533451278684,41.2054342427642,42.04237391674317,7795896.190883859,31.866672095913998,32.08349181067505,31.66909181406531,31.822810340193953,10590372.265347641,332.84405868171183,339.6301514275564,330.78520332564364,335.4894675435721,2584676.794612729,95.3136076123222,98.7574544326508,95.34995527855779,95.71965008214032,10247311.337165559,151.7500341848656,152.54573465574396,150.07080616783168,150.4237986571876,9195575.360728912,467.07023386094045,480.7758124774525,466.0583622793397,473.66321914826295,1466032.9609267856,33.514723590319946,34.26393005289023,33.106612946446056,34.086966555642405,10088024.668605931,24.317000823306433,25.265077054823617,24.174519262738983,24.67849519350595,11146565.07531658,26.38982196665149,26.467779767689354,26.059072031758582,26.311288393165288,13891745.46257656,136.76470759757905,139.54328542618993,135.19616751766725,136.23001422563146,2721887.697870197,107.66700772381166,110.0005488459747,106.66652948053296,107.49709842315417,18076384.846674897
