Series,Date,Actual,Naive,ARIMA,SARIMA
LME_CA_Close,1868,9861.5,9780.5,9791.395896696125,9782.651599904868
LME_CA_Close,1869,9904.5,9861.5,9780.439037420758,9782.172722367153
LME_CA_Close,1870,9987.5,9904.5,9791.18010622196,9779.56672710651
LME_CA_Close,1871,9936.5,9987.5,9780.660268678866,9782.819522681102
LME_CA_Close,1872,9855.5,9936.5,9790.96308396124,9786.982686247193
LME_CA_Close,1873,9956.15,9855.5,9780.872826294717,9789.666168470003
LME_CA_Close,1874,10110.49,9956.15,9790.754911178119,9789.369991881334
LME_CA_Close,1875,9927.0,10110.49,9781.076704267274,9786.826754181258
LME_CA_Close,1876,9846.5,9927.0,9790.55523942545,9790.101106903903
LME_CA_Close,1877,9794.5,9846.5,9781.272256578295,9794.271675324931
LME_CA_Close,1878,9710.0,9794.5,9790.363721567612,9796.957701106681
LME_CA_Close,1879,9692.23,9710.0,9781.45982321803,9796.662398227509
LME_CA_Close,1880,9700.5,9692.23,9790.180024628125,9794.119460645614
LME_CA_Close,1881,9366.5,9700.5,9781.63973029332,9797.393916458503
LME_CA_Close,1882,8780.0,9366.5,9790.003829228086,9801.564520290907
LME_CA_Close,1883,8732.0,8780.0,9781.812290593938,9804.250558236423
LME_CA_Close,1884,8655.5,8732.0,9789.834829030904,9803.955259535489
LME_CA_Close,1885,8611.07,8655.5,9781.977804136424,9801.412323388815
LME_CA_Close,1886,8988.0,8611.07,9789.6727302097,9804.686779694699
LME_CA_Close,1887,9154.5,8988.0,9782.136558685695,9808.857383696448
LME_CA_Close,1888,9187.0,9154.5,9789.51725093646,9811.543421700133
LME_CA_Close,1889,9164.0,9187.0,9782.288830255353,9811.24812301918
LME_CA_Close,1890,9203.5,9164.0,9789.368120892035,9808.70518687937
LME_CA_Close,1891,9188.5,9203.5,9782.434883587572,9811.979643187611
LME_CA_Close,1894,9369.0,9188.5,9789.225080796163,9816.15024719017
LME_CA_Close,1895,9382.5,9369.0,9782.574972613384,9818.836285194133
LME_CA_Close,1896,9392.5,9382.5,9789.08788195668,9818.540986513277
LME_CA_Close,1897,9374.0,9392.5,9782.70934089417,9815.998050373499
LME_CA_Close,1898,9378.0,9374.0,9788.956285837143,9819.272506681751
LME_CA_Close,1899,9440.0,9378.0,9782.838222045111,9823.443110684313
LME_CA_Close,1900,9125.0,9440.0,9788.830063642094,9826.129148688278
LME_CA_Close,1901,9206.0,9125.0,9782.961840141368,9825.833850007422
LME_CA_Close,1902,9365.5,9206.0,9788.708995919284,9823.290913867644
LME_CA_Close,1903,9538.0,9365.5,9783.080410107657,9826.565370175897
LME_CA_Close,1904,9419.5,9538.0,9788.592872178127,9830.735974178458
LME_CA_Close,1905,9431.5,9419.5,9783.19413809192,9833.422012182422
LME_CA_Close,1906,9445.5,9431.5,9788.481490523733,9833.126713501566
LME_CA_Close,1907,9520.5,9445.5,9783.303221823739,9830.583777361788
LME_CA_Close,1908,9599.5,9520.5,9788.37465730589,9833.85823367004
LME_CA_Close,1909,9606.5,9599.5,9783.407850958112,9838.028837672602
LME_CA_Close,1910,9577.0,9606.5,9788.272186782386,9840.714875676565
LME_CA_Close,1911,9447.5,9577.0,9783.508207405195,9840.41957699571
LME_CA_Close,1912,9523.5,9447.5,9788.173900796068,9837.876640855931
LME_CA_Close,1913,9519.5,9523.5,9783.604465646567,9841.151097164184
LME_CA_Close,1914,9533.5,9519.5,9788.079628465097,9845.321701166746
LME_CA_Close,1915,9500.5,9533.5,9783.69679303859,9848.00773917071
LME_CA_Close,1916,9610.0,9500.5,9787.98920588585,9847.712440489853
LME_CA_Close,1918,9596.5,9610.0,9783.785350103384,9845.169504350075
LME_CA_Close,1919,9565.0,9596.5,9787.902475847954,9848.443960658327
LME_CA_Close,1920,9568.0,9565.0,9783.8702908079,9852.61456466089
LME_CA_Close,1921,9498.0,9568.0,9787.819287560955,9855.300602664853
LME_CA_Close,1922,9616.5,9498.0,9783.951762831623,9855.005303983997
LME_CA_Close,1923,9634.0,9616.5,9787.739496392158,9852.462367844219
LME_CA_Close,1924,9621.5,9634.0,9784.029907823327,9855.736824152471
LME_CA_Close,1925,9739.5,9621.5,9787.662963615156,9859.907428155033
